,LotSizeAcres,med/housing,address/locality,education ,identifier/attomId,edusqu,median_income,address/postal1,HSper,bachper,total,2per,perc_fs,summary/yearbuilt,mastper,building/rooms/bathstotal,population,building/rooms/beds,sale/amount/saleamt
54,0.3444,130700,Massillon,9,,81,52252,44646,32.67354421726431,16.978435150083897,43.1,6.392211044428134,13.12241214566302,1987,6.0903610714063765,3.0,46322.0,4,204900
61,0.4132,130700,Massillon,9,,81,52252,44646,32.67354421726431,16.978435150083897,43.1,6.392211044428134,13.12241214566302,1998,6.0903610714063765,4.0,46322.0,4,150800
63,0.3343,130700,Massillon,9,,81,52252,44646,32.67354421726431,16.978435150083897,43.1,6.392211044428134,13.12241214566302,2014,6.0903610714063765,3.0,46322.0,4,460000
67,0.4775,130700,Massillon,9,,81,52252,44646,32.67354421726431,16.978435150083897,43.1,6.392211044428134,13.12241214566302,1975,6.0903610714063765,3.0,46322.0,3,183000
75,0.314,169000,Brunswick,8,,64,69434,44212,31.471717763457658,18.258152704549893,40.1,1.484175570967086,7.366928575648372,2016,6.701165137017509,3.0,44267.0,4,344900
78,0.6043,169000,Brunswick,8,,64,69434,44212,31.471717763457658,18.258152704549893,40.1,1.484175570967086,7.366928575648372,1956,6.701165137017509,1.0,44267.0,2,86000
79,0.2951,169000,Brunswick,8,,64,69434,44212,31.471717763457658,18.258152704549893,40.1,1.484175570967086,7.366928575648372,1992,6.701165137017509,3.0,44267.0,4,260000
80,0.2927,169000,Brunswick,8,,64,69434,44212,31.471717763457658,18.258152704549893,40.1,1.484175570967086,7.366928575648372,1970,6.701165137017509,3.0,44267.0,4,208000
81,0.5015,169000,Brunswick,8,,64,69434,44212,31.471717763457658,18.258152704549893,40.1,1.484175570967086,7.366928575648372,1958,6.701165137017509,1.0,44267.0,3,63000
82,0.33,169000,Brunswick,8,,64,69434,44212,31.471717763457658,18.258152704549893,40.1,1.484175570967086,7.366928575648372,1999,6.701165137017509,2.0,44267.0,2,233000
83,0.2755,169000,Brunswick,8,,64,69434,44212,31.471717763457658,18.258152704549893,40.1,1.484175570967086,7.366928575648372,1974,6.701165137017509,2.0,44267.0,4,167000
84,0.58,157700,Rootstown,7,,49,61577,44272,38.27937649880096,15.167865707434053,39.3,1.63372327551432,8.12664907651715,1973,5.845323741007194,2.0,4958.0,4,169900
86,0.2451,157700,Rootstown,7,,49,61577,44272,38.27937649880096,15.167865707434053,39.3,1.63372327551432,8.12664907651715,1967,5.845323741007194,2.0,4958.0,2,100000
88,0.31,157700,Rootstown,7,,49,61577,44272,38.27937649880096,15.167865707434053,39.3,1.63372327551432,8.12664907651715,2002,5.845323741007194,3.0,4958.0,4,206500
92,0.5739,104800,Norton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1932,3.8133986139364895,1.0,40997.0,2,142000
93,0.1377,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1918,3.8133986139364895,1.0,40997.0,2,79900
94,0.0803,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1889,3.8133986139364895,2.0,40997.0,3,72000
95,0.66,104800,Norton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1953,3.8133986139364895,1.0,40997.0,2,150500
96,0.1971,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1943,3.8133986139364895,2.0,40997.0,3,114000
97,0.2792,104800,Norton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1972,3.8133986139364895,3.0,40997.0,4,179900
98,0.124,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1948,3.8133986139364895,1.0,40997.0,2,125000
100,0.1377,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1918,3.8133986139364895,1.0,40997.0,2,41898
101,0.2913,104800,Norton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1968,3.8133986139364895,2.0,40997.0,4,171500
102,0.4591,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1991,3.8133986139364895,3.0,40997.0,3,237000
