geoid,address/postal1,population,Error
86000US43324,43324,2934,446
86000US43326,43326,13687,653
86000US43330,43330,139,61
86000US43331,43331,4464,235
86000US43332,43332,1690,342
86000US43333,43333,515,180
86000US43334,43334,6617,473
86000US43336,43336,0,11
86000US43337,43337,988,321
86000US43338,43338,10185,613
86000US43340,43340,1957,457
86000US43341,43341,1253,335
86000US43342,43342,3019,436
86000US43343,43343,1436,326
86000US43344,43344,5755,380
86000US43345,43345,729,168
86000US43347,43347,1499,214
86000US43348,43348,1685,410
86000US43351,43351,10254,368
86000US43356,43356,1245,312
86000US43357,43357,4033,402
86000US43358,43358,2366,395
86000US43359,43359,794,134
86000US43360,43360,1761,337
86000US43402,43402,32240,788
86000US43403,43403,5514,444
86000US43406,43406,1917,197
86000US43407,43407,741,251
86000US43408,43408,318,112
86000US43410,43410,10310,389
86000US43412,43412,4556,311
86000US43413,43413,1574,257
86000US43416,43416,2992,276
86000US43420,43420,30294,600
86000US43430,43430,4625,310
86000US43431,43431,4482,210
86000US43432,43432,1313,238
86000US43433,43433,35,37
86000US43434,43434,55,21
86000US43435,43435,1378,284
86000US43437,43437,560,124
86000US43438,43438,199,50
86000US43439,43439,27,32
86000US43440,43440,4861,104
86000US43442,43442,1322,266
86000US43443,43443,1961,240
86000US43445,43445,1102,243
86000US43446,43446,82,21
86000US43447,43447,3325,474
86000US43449,43449,8328,404
86000US43450,43450,3506,182
86000US43451,43451,1147,256
86000US43452,43452,13600,315
86000US43456,43456,428,87
86000US43457,43457,1420,216
86000US43458,43458,469,128
86000US43460,43460,6484,33
86000US43462,43462,1284,235
86000US43463,43463,57,55
86000US43464,43464,1177,429
86000US43465,43465,5348,428
86000US43466,43466,1951,192
86000US43467,43467,104,69
86000US43468,43468,375,172
86000US43469,43469,2989,245
86000US43501,43501,788,270
86000US43502,43502,6638,158
86000US43504,43504,1257,121
86000US43505,43505,56,24
86000US43506,43506,14275,417
86000US43511,43511,920,184
86000US43512,43512,27691,499
86000US43515,43515,8844,541
86000US43516,43516,2660,279
86000US43517,43517,4113,355
86000US43518,43518,2485,247
86000US43519,43519,308,173
86000US43521,43521,2884,306
86000US43522,43522,3016,297
86000US43523,43523,0,11
86000US43524,43524,1299,218
86000US43525,43525,1322,220
86000US43526,43526,5732,266
86000US43527,43527,1946,278
86000US43528,43528,16248,722
86000US43529,43529,361,125
86000US43531,43531,287,178
86000US43532,43532,4151,380
86000US43533,43533,1534,279
86000US43534,43534,1823,323
86000US43535,43535,804,159
86000US43536,43536,384,213
86000US43537,43537,26947,943
86000US43540,43540,1336,217
86000US43541,43541,186,83
86000US43542,43542,3655,784
86000US43543,43543,7977,482
86000US43545,43545,14208,485
86000US43547,43547,285,103
86000US43548,43548,603,122
86000US43549,43549,1372,317
86000US43551,43551,38467,571
86000US43553,43553,128,66
86000US43554,43554,2473,355
86000US43555,43555,247,125
86000US43556,43556,1725,239
86000US43557,43557,3272,98
86000US43558,43558,12506,436
86000US43560,43560,31982,739
86000US43565,43565,457,107
86000US43566,43566,7753,470
86000US43567,43567,13060,384
86000US43569,43569,3052,332
86000US43570,43570,3054,188
86000US43571,43571,7603,375
86000US43604,43604,9160,710
86000US43605,43605,26564,971
86000US43606,43606,25449,929
86000US43607,43607,21560,1262
86000US43608,43608,14853,821
86000US43609,43609,21876,1062
86000US43610,43610,4453,468
86000US43611,43611,18852,806
86000US43612,43612,28964,1067
86000US43613,43613,32423,912
86000US43614,43614,31334,1156
86000US43615,43615,40501,1713
86000US43616,43616,20537,239
86000US43617,43617,6943,627
86000US43619,43619,7493,396
86000US43620,43620,5936,411
86000US43623,43623,19876,722
86000US43701,43701,55411,614
86000US43711,43711,109,117
86000US43713,43713,7103,340
86000US43716,43716,1978,464
86000US43717,43717,171,64
86000US43718,43718,3310,382
86000US43719,43719,2566,251
86000US43720,43720,1418,382
86000US43721,43721,0,11
86000US43722,43722,189,80
86000US43723,43723,5160,290
86000US43724,43724,9315,295
86000US43725,43725,20002,607
86000US43727,43727,963,236
86000US43728,43728,1454,304
86000US43730,43730,2311,390
86000US43731,43731,5155,411
86000US43732,43732,1405,216
86000US43733,43733,0,11
86000US43734,43734,1878,285
86000US43735,43735,475,207
86000US43736,43736,67,35
86000US43738,43738,88,47
86000US43739,43739,2356,460
86000US43740,43740,307,95
86000US43746,43746,1240,358
86000US43747,43747,1065,418
86000US43748,43748,2669,307
86000US43749,43749,2540,495
86000US43750,43750,140,100
86000US43754,43754,1697,286
86000US43755,43755,1971,419
86000US43756,43756,5073,308
86000US43758,43758,2887,360
86000US43759,43759,37,21
86000US43760,43760,2363,517
86000US43761,43761,44,69
86000US43762,43762,5915,557
86000US43764,43764,8789,552
86000US43766,43766,1588,320
86000US43767,43767,1101,236
86000US43768,43768,334,99
86000US43771,43771,1621,236
86000US43772,43772,1651,291
86000US43773,43773,3531,615
86000US43777,43777,4854,436
86000US43778,43778,1187,221
86000US43779,43779,953,202
86000US43780,43780,1773,305
86000US43782,43782,800,260
86000US43783,43783,4767,544
86000US43786,43786,36,18
86000US43787,43787,2836,343
86000US43788,43788,816,207
86000US43793,43793,4818,336
86000US43802,43802,1229,260
86000US43804,43804,3748,614
86000US43805,43805,93,118
86000US43811,43811,826,171
86000US43812,43812,18582,529
86000US43821,43821,4142,514
86000US43822,43822,4301,528
86000US43824,43824,4278,457
86000US43830,43830,5869,590
86000US43832,43832,7564,546
86000US43836,43836,112,31
86000US43837,43837,1915,319
86000US43840,43840,1251,358
86000US43842,43842,261,118
86000US43843,43843,1698,536
86000US43844,43844,3550,434
86000US43845,43845,4812,290
86000US43901,43901,2075,216
86000US43902,43902,127,139
86000US43903,43903,2185,434
86000US43905,43905,140,107
86000US43906,43906,8501,271
86000US43907,43907,5806,311
86000US43908,43908,1742,366
86000US43910,43910,3043,465
86000US43912,43912,6372,494
86000US43913,43913,1846,195
86000US43914,43914,155,160
86000US43915,43915,1240,228
86000US43917,43917,3064,403
86000US43920,43920,22684,275
86000US43925,43925,650,450
86000US43926,43926,259,90
86000US43927,43927,98,61
86000US43928,43928,0,11
86000US43930,43930,876,214
86000US43931,43931,330,145
86000US43932,43932,761,156
86000US43933,43933,2060,350
86000US43934,43934,556,213
86000US43935,43935,8925,477
86000US43938,43938,5040,213
86000US43939,43939,628,195
86000US43940,43940,217,140
86000US43942,43942,2810,377
86000US43943,43943,2969,205
86000US43944,43944,2038,415
86000US43945,43945,3230,334
86000US43946,43946,1928,360
86000US43947,43947,5255,239
86000US43948,43948,619,165
86000US43950,43950,16409,430
86000US43951,43951,118,84
86000US43952,43952,18505,460
86000US43953,43953,11718,570
86000US43961,43961,352,109
86000US43962,43962,87,38
86000US43963,43963,1278,117
86000US43964,43964,8952,294
86000US43967,43967,0,11
86000US43968,43968,6203,377
86000US43970,43970,69,82
86000US43971,43971,1196,182
86000US43972,43972,212,169
86000US43973,43973,2091,325
86000US43974,43974,78,37
86000US43976,43976,1772,253
86000US43977,43977,2124,311
86000US43983,43983,594,260
86000US43985,43985,127,60
86000US43986,43986,2302,370
86000US43988,43988,2276,322
86000US44001,44001,20862,378
86000US44003,44003,4352,493
86000US44004,44004,31774,337
86000US44010,44010,1681,395
86000US44011,44011,22538,23
86000US44012,44012,23489,20
86000US44017,44017,19002,69
86000US44021,44021,6106,340
86000US44022,44022,16580,419
86000US44023,44023,17582,179
86000US44024,44024,23593,300
86000US44026,44026,11207,267
86000US44028,44028,9034,318
86000US44030,44030,15911,507
86000US44032,44032,2088,462
86000US44035,44035,63572,380
86000US44039,44039,32509,87
86000US44040,44040,3159,263
86000US44041,44041,14375,308
86000US44044,44044,14902,453
86000US44045,44045,371,84
86000US44046,44046,2268,415
86000US44047,44047,8890,557
86000US44048,44048,2503,542
86000US44049,44049,230,52
86000US44050,44050,6473,318
86000US44052,44052,28620,963
86000US44053,44053,18615,735
86000US44054,44054,12585,180
86000US44055,44055,20326,725
86000US44056,44056,11733,46
86000US44057,44057,19648,224
86000US44060,44060,60647,558
86000US44062,44062,14757,551
86000US44064,44064,1664,126
86000US44065,44065,4521,275
86000US44067,44067,20454,45
86000US44070,44070,31973,125
86000US44072,44072,4426,320
86000US44074,44074,11430,311
86000US44076,44076,4852,382
86000US44077,44077,55983,630
86000US44080,44080,88,59
86000US44081,44081,7118,211
86000US44082,44082,2402,1049
86000US44084,44084,3581,507
86000US44085,44085,3497,552
86000US44086,44086,2575,194
86000US44087,44087,20507,255
86000US44089,44089,15737,285
86000US44090,44090,11725,358
86000US44092,44092,16542,352
86000US44093,44093,1242,306
86000US44094,44094,35748,377
86000US44095,44095,33378,135
86000US44099,44099,1971,325
86000US44101,44101,587,123
86000US44102,44102,45276,1412
86000US44103,44103,16486,984
86000US44104,44104,20541,874
86000US44105,44105,38018,1416
86000US44106,44106,25836,1031
86000US44107,44107,50954,132
86000US44108,44108,22048,1007
86000US44109,44109,40810,1304
86000US44110,44110,19614,1048
86000US44111,44111,41455,1134
86000US44112,44112,21788,662
86000US44113,44113,19830,687
86000US44114,44114,6714,462
86000US44115,44115,8281,844
86000US44116,44116,20310,32
86000US44117,44117,9770,644
86000US44118,44118,39487,768
86000US44119,44119,12302,973
86000US44120,44120,34556,1365
86000US44121,44121,32651,745
86000US44122,44122,33645,672
86000US44123,44123,16428,881
86000US44124,44124,37728,324
86000US44125,44125,28055,469
86000US44126,44126,16395,28
86000US44127,44127,4990,522
86000US44128,44128,28894,1119
86000US44129,44129,28263,808
86000US44130,44130,49591,513
86000US44131,44131,20490,85
86000US44132,44132,15131,547
86000US44133,44133,30263,88
86000US44134,44134,38084,716
86000US44135,44135,27826,897
86000US44136,44136,25743,453
86000US44137,44137,22658,74
86000US44138,44138,22349,128
86000US44139,44139,24231,200
86000US44140,44140,15426,50
86000US44141,44141,13858,148
86000US44142,44142,18762,78
86000US44143,44143,24067,379
86000US44144,44144,22150,639
86000US44145,44145,32387,39
86000US44146,44146,29316,152
86000US44147,44147,19345,98
86000US44149,44149,18968,460
86000US44201,44201,6962,486
86000US44202,44202,20153,347
86000US44203,44203,40997,517
86000US44212,44212,44267,196
86000US44214,44214,2457,327
86000US44215,44215,2266,254
86000US44216,44216,9511,533
86000US44217,44217,3959,211
86000US44221,44221,29433,796
86000US44223,44223,17732,870
86000US44224,44224,39168,438
86000US44230,44230,8601,303
86000US44231,44231,8912,458
86000US44233,44233,7874,18
86000US44234,44234,4251,280
86000US44235,44235,1966,464
86000US44236,44236,25195,364
86000US44240,44240,39381,548
86000US44241,44241,16746,389
86000US44243,44243,4589,325
86000US44250,44250,1141,365
86000US44251,44251,865,131
86000US44253,44253,3039,241
86000US44254,44254,4889,238
86000US44255,44255,8328,653
86000US44256,44256,62656,627
86000US44260,44260,13543,733
86000US44262,44262,5057,59
86000US44264,44264,2940,398
86000US44265,44265,0,11
86000US44266,44266,33531,726
86000US44270,44270,8710,349
86000US44272,44272,4958,338
86000US44273,44273,7340,566
86000US44274,44274,344,259
86000US44275,44275,3476,332
86000US44276,44276,1924,215
86000US44278,44278,17878,241
86000US44280,44280,4527,251
86000US44281,44281,31507,593
86000US44285,44285,15,13
86000US44286,44286,6072,192
86000US44287,44287,7468,622
86000US44288,44288,3743,341
86000US44301,44301,15509,849
86000US44302,44302,5297,460
86000US44303,44303,7683,473
86000US44304,44304,5378,748
86000US44305,44305,22586,864
86000US44306,44306,21177,920
86000US44307,44307,7464,661
86000US44308,44308,936,216
86000US44310,44310,24838,1246
86000US44311,44311,8864,790
86000US44312,44312,31074,912
86000US44313,44313,24479,1031
86000US44314,44314,19234,868
86000US44319,44319,22292,796
86000US44320,44320,19459,918
86000US44321,44321,15043,477
86000US44333,44333,18822,469
86000US44401,44401,2618,309
86000US44402,44402,3144,263
86000US44403,44403,3954,308
86000US44404,44404,1640,276
86000US44405,44405,7991,28
86000US44406,44406,21663,671
86000US44408,44408,10399,483
86000US44410,44410,16387,533
86000US44411,44411,2275,229
86000US44412,44412,2704,271
86000US44413,44413,7302,410
86000US44417,44417,1799,347
86000US44418,44418,1458,295
86000US44420,44420,14877,450
86000US44423,44423,2482,366
86000US44425,44425,14648,383
86000US44427,44427,1464,427
86000US44428,44428,3033,309
86000US44429,44429,2644,212
86000US44430,44430,4868,413
86000US44431,44431,4432,377
86000US44432,44432,13306,452
86000US44436,44436,3740,328
86000US44437,44437,4275,332
86000US44438,44438,4168,357
86000US44439,44439,106,79
86000US44440,44440,5111,583
86000US44441,44441,1737,307
86000US44442,44442,3874,372
86000US44443,44443,1577,325
86000US44444,44444,9495,438
86000US44445,44445,3517,477
86000US44446,44446,19931,468
86000US44449,44449,1001,252
86000US44450,44450,2175,391
86000US44451,44451,2892,231
86000US44452,44452,3515,416
86000US44454,44454,1114,339
86000US44455,44455,1426,287
86000US44460,44460,25680,445
86000US44470,44470,4154,257
86000US44471,44471,10771,116
86000US44473,44473,3615,161
86000US44481,44481,10453,663
86000US44483,44483,25016,849
86000US44484,44484,22371,716
86000US44485,44485,15760,742
86000US44490,44490,890,149
86000US44491,44491,3531,324
86000US44493,44493,26,43
86000US44502,44502,9749,478
86000US44503,44503,1075,198
86000US44504,44504,4652,386
86000US44505,44505,18170,727
86000US44506,44506,2858,381
86000US44507,44507,5093,456
86000US44509,44509,11832,660
86000US44510,44510,2772,300
86000US44511,44511,19237,924
86000US44512,44512,33656,884
86000US44514,44514,21628,761
86000US44515,44515,26916,592
86000US44601,44601,35175,467
86000US44606,44606,8341,556
86000US44607,44607,158,121
86000US44608,44608,2355,406
86000US44609,44609,4359,394
86000US44610,44610,175,121
86000US44611,44611,2154,370
86000US44612,44612,5540,209
86000US44613,44613,1973,341
86000US44614,44614,12769,425
86000US44615,44615,10759,560
86000US44618,44618,6589,382
86000US44620,44620,1750,272
86000US44621,44621,4432,411
86000US44622,44622,18140,303
86000US44624,44624,5160,580
86000US44625,44625,1807,377
86000US44626,44626,3078,225
86000US44627,44627,7146,786
86000US44628,44628,996,187
86000US44629,44629,2596,358
86000US44632,44632,9428,504
86000US44633,44633,2650,416
86000US44634,44634,2112,300
86000US44637,44637,3351,536
86000US44638,44638,1560,351
86000US44640,44640,173,59
86000US44641,44641,20291,408
86000US44643,44643,3490,423
86000US44644,44644,4895,267
86000US44645,44645,2145,204
86000US44646,44646,46322,999
86000US44647,44647,19032,630
86000US44651,44651,569,271
86000US44652,44652,32,52
86000US44653,44653,690,173
86000US44654,44654,20892,1048
86000US44656,44656,2784,455
86000US44657,44657,9572,565
86000US44659,44659,96,45
86000US44661,44661,185,63
86000US44662,44662,9984,626
86000US44663,44663,24971,403
86000US44666,44666,3018,400
86000US44667,44667,13909,417
86000US44669,44669,1266,226
86000US44670,44670,306,178
86000US44671,44671,333,152
86000US44672,44672,4783,189
86000US44675,44675,1944,306
86000US44676,44676,4593,381
86000US44677,44677,2550,278
86000US44678,44678,385,319
86000US44680,44680,4290,234
86000US44681,44681,7574,446
86000US44682,44682,1013,203
86000US44683,44683,8388,384
86000US44685,44685,27887,962
86000US44687,44687,293,162
86000US44688,44688,2870,295
86000US44689,44689,727,293
86000US44690,44690,198,155
86000US44691,44691,44280,514
86000US44693,44693,45,29
86000US44695,44695,1567,278
86000US44697,44697,202,66
86000US44699,44699,779,187
86000US44702,44702,971,170
86000US44703,44703,7600,571
86000US44704,44704,3307,578
86000US44705,44705,20064,1053
86000US44706,44706,17286,873
86000US44707,44707,9505,848
86000US44708,44708,25558,872
86000US44709,44709,19540,872
86000US44710,44710,9378,752
86000US44714,44714,8216,670
86000US44718,44718,11765,646
86000US44720,44720,38716,1071
86000US44721,44721,13886,828
86000US44730,44730,6084,407
86000US44802,44802,996,226
86000US44804,44804,1055,247
86000US44805,44805,32647,562
86000US44807,44807,2181,295
86000US44809,44809,326,100
86000US44811,44811,12291,489
86000US44813,44813,8800,947
86000US44814,44814,2829,391
86000US44815,44815,591,117
86000US44816,44816,18,27
86000US44817,44817,1572,258
86000US44818,44818,2426,295
86000US44820,44820,17575,471
86000US44822,44822,2902,283
86000US44824,44824,3794,462
86000US44825,44825,76,43
86000US44826,44826,1619,452
86000US44827,44827,6683,276
86000US44828,44828,77,81
86000US44830,44830,18713,568
86000US44833,44833,17040,637
86000US44836,44836,2590,307
86000US44837,44837,4636,480
86000US44838,44838,262,70
86000US44839,44839,12178,369
86000US44840,44840,2860,337
86000US44841,44841,551,174
86000US44842,44842,5374,378
86000US44843,44843,2084,233
86000US44844,44844,592,220
86000US44846,44846,3385,372
86000US44847,44847,3458,378
86000US44849,44849,2309,300
86000US44850,44850,45,33
86000US44851,44851,4804,351
86000US44853,44853,1329,210
86000US44854,44854,1673,205
86000US44855,44855,1195,241
86000US44856,44856,195,76
86000US44857,44857,23394,427
86000US44859,44859,1756,397
86000US44861,44861,69,42
86000US44864,44864,3747,422
86000US44865,44865,3208,372
86000US44866,44866,2197,572
86000US44867,44867,2272,266
86000US44870,44870,39881,420
86000US44874,44874,338,112
86000US44875,44875,13175,381
86000US44878,44878,3046,451
86000US44880,44880,2962,209
86000US44881,44881,11,16
86000US44882,44882,3028,351
86000US44883,44883,28402,342
86000US44887,44887,887,186
86000US44889,44889,7410,576
86000US44890,44890,11387,488
86000US44901,44901,2613,208
86000US44902,44902,4566,497
86000US44903,44903,24271,1270
86000US44904,44904,13433,674
86000US44905,44905,13951,745
86000US44906,44906,17146,1057
86000US44907,44907,14893,751
86000US45001,45001,604,140
86000US45002,45002,14034,607
86000US45003,45003,564,133
86000US45005,45005,31052,434
86000US45011,45011,70820,1348
86000US45013,45013,53727,1169
86000US45014,45014,43535,571
86000US45015,45015,12358,933
86000US45030,45030,18841,217
86000US45032,45032,405,147
86000US45033,45033,228,101
86000US45034,45034,1271,329
86000US45036,45036,39109,618
86000US45039,45039,24142,1721
86000US45040,45040,53848,752
86000US45041,45041,95,115
86000US45042,45042,26649,893
86000US45044,45044,53250,1117
86000US45050,45050,9221,449
86000US45051,45051,183,88
86000US45052,45052,3614,377
86000US45053,45053,3479,456
86000US45054,45054,2862,439
86000US45056,45056,27654,279
86000US45062,45062,629,136
86000US45064,45064,2953,382
86000US45065,45065,4531,484
86000US45066,45066,24825,806
86000US45067,45067,14744,461
86000US45068,45068,10899,609
86000US45069,45069,50548,767
86000US45070,45070,217,76
86000US45101,45101,2260,158
86000US45102,45102,22478,767
86000US45103,45103,33348,1095
86000US45106,45106,12655,656
86000US45107,45107,9786,513
86000US45111,45111,249,76
86000US45112,45112,76,52
86000US45113,45113,3441,367
86000US45115,45115,79,92
86000US45118,45118,3683,288
86000US45120,45120,2812,492
86000US45121,45121,9108,573
86000US45122,45122,10742,775
86000US45123,45123,8852,522
86000US45130,45130,3489,324
86000US45131,45131,243,94
86000US45132,45132,404,131
86000US45133,45133,24278,763
86000US45135,45135,4772,361
86000US45140,45140,55782,1238
86000US45142,45142,3820,333
86000US45144,45144,4577,410
86000US45145,45145,22,36
86000US45146,45146,1564,271
86000US45147,45147,226,205
86000US45148,45148,1348,235
86000US45150,45150,32336,691
86000US45152,45152,12056,1592
86000US45153,45153,1861,354
86000US45154,45154,9028,470
86000US45155,45155,321,109
86000US45156,45156,61,31
86000US45157,45157,10268,649
86000US45158,45158,389,128
86000US45159,45159,3436,541
86000US45160,45160,762,171
86000US45162,45162,2594,397
86000US45164,45164,266,87
86000US45166,45166,26,33
86000US45167,45167,3642,185
86000US45168,45168,1723,352
86000US45169,45169,4719,353
86000US45171,45171,5960,588
86000US45172,45172,155,115
86000US45174,45174,2347,128
86000US45176,45176,9355,618
86000US45177,45177,22226,471
86000US45202,45202,13552,624
86000US45203,45203,2335,353
86000US45204,45204,5928,636
86000US45205,45205,18624,1155
86000US45206,45206,10709,520
86000US45207,45207,7478,585
86000US45208,45208,18546,663
86000US45209,45209,10473,484
86000US45211,45211,38221,1619
86000US45212,45212,22209,306
86000US45213,45213,12168,1051
86000US45214,45214,8366,750
86000US45215,45215,30860,987
86000US45216,45216,8929,862
86000US45217,45217,7160,562
86000US45218,45218,3875,230
86000US45219,45219,18009,869
86000US45220,45220,13932,765
86000US45223,45223,12612,727
86000US45224,45224,20537,901
86000US45225,45225,9560,793
86000US45226,45226,5483,406
86000US45227,45227,18206,764
86000US45229,45229,12763,1014
86000US45230,45230,27202,952
86000US45231,45231,41276,1121
86000US45232,45232,6615,578
86000US45233,45233,16212,694
86000US45236,45236,24646,803
86000US45237,45237,20167,855
86000US45238,45238,45662,1223
86000US45239,45239,27509,1174
86000US45240,45240,26982,812
86000US45241,45241,24066,764
86000US45242,45242,22328,765
86000US45243,45243,15006,414
86000US45244,45244,28874,798
86000US45245,45245,19861,782
86000US45246,45246,14493,457
86000US45247,45247,22298,869
86000US45248,45248,24616,940
86000US45249,45249,13273,605
86000US45251,45251,22577,796
86000US45252,45252,4554,332
86000US45255,45255,21641,863
86000US45301,45301,64,58
86000US45302,45302,3911,381
86000US45303,45303,2547,370
86000US45304,45304,7140,401
86000US45305,45305,10991,584
86000US45306,45306,2571,302
86000US45307,45307,321,70
86000US45308,45308,4031,294
86000US45309,45309,12391,405
86000US45310,45310,248,45
86000US45311,45311,6145,360
86000US45312,45312,1343,249
86000US45314,45314,5902,191
86000US45315,45315,4102,575
86000US45316,45316,78,28
86000US45317,45317,1001,319
86000US45318,45318,5680,336
86000US45319,45319,409,104
86000US45320,45320,15065,295
86000US45321,45321,806,116
86000US45322,45322,21121,650
86000US45323,45323,5248,274
86000US45324,45324,40828,507
86000US45325,45325,2353,298
86000US45326,45326,1221,290
86000US45327,45327,9416,352
86000US45328,45328,622,119
86000US45330,45330,996,202
86000US45331,45331,21961,495
86000US45332,45332,904,247
86000US45333,45333,1347,216
86000US45334,45334,2125,259
86000US45335,45335,6877,279
86000US45336,45336,159,51
86000US45337,45337,1877,361
86000US45338,45338,4975,244
86000US45339,45339,1419,268
86000US45340,45340,713,191
86000US45341,45341,3899,404
86000US45342,45342,36474,879
86000US45344,45344,16083,501
86000US45345,45345,6023,481
86000US45346,45346,2094,287
86000US45347,45347,4643,400
86000US45348,45348,1045,268
86000US45349,45349,337,92
86000US45350,45350,108,50
86000US45351,45351,227,71
86000US45352,45352,227,81
86000US45353,45353,200,133
86000US45354,45354,473,119
86000US45356,45356,25249,463
86000US45358,45358,323,75
86000US45359,45359,1908,234
86000US45360,45360,486,116
86000US45361,45361,338,122
86000US45362,45362,1245,292
86000US45363,45363,1699,189
86000US45365,45365,30176,555
86000US45368,45368,5060,339
86000US45369,45369,3542,321
86000US45370,45370,2553,307
86000US45371,45371,19452,703
86000US45372,45372,382,100
86000US45373,45373,35640,659
86000US45377,45377,15466,438
86000US45378,45378,337,84
86000US45380,45380,5143,201
86000US45381,45381,5448,243
86000US45382,45382,1264,202
86000US45383,45383,7088,304
86000US45384,45384,1990,540
86000US45385,45385,38215,677
86000US45387,45387,5340,213
86000US45388,45388,863,245
86000US45389,45389,515,134
86000US45390,45390,3428,178
86000US45402,45402,9568,818
86000US45403,45403,15238,1008
86000US45404,45404,10677,1101
86000US45405,45405,17234,1009
86000US45406,45406,19715,785
86000US45409,45409,15264,731
86000US45410,45410,15290,926
86000US45414,45414,20663,818
86000US45415,45415,13291,622
86000US45416,45416,5956,630
86000US45417,45417,30276,1077
86000US45418,45418,1968,309
86000US45419,45419,14442,683
86000US45420,45420,25591,931
86000US45424,45424,50734,928
86000US45426,45426,15544,536
86000US45428,45428,311,102
86000US45429,45429,25929,516
86000US45430,45430,7216,493
86000US45431,45431,27854,1207
86000US45432,45432,15074,816
86000US45433,45433,2726,273
86000US45434,45434,11793,545
86000US45439,45439,10115,712
86000US45440,45440,21215,714
86000US45449,45449,17828,423
86000US45458,45458,31592,968
