geoid,name,B19058001,"B19058001, Error",B19058002,"B19058002, Error",B19058003,"B19058003, Error"
86000US43557,43557,926,98,58,29,868,92
86000US43558,43558,5199,225,513,134,4686,233
86000US43560,43560,11891,358,797,196,11094,387
86000US43565,43565,175,37,8,8,167,37
86000US43566,43566,2902,225,86,50,2816,228
86000US43567,43567,5014,209,512,159,4502,224
86000US43569,43569,1104,106,140,46,964,99
86000US43570,43570,1314,99,177,47,1137,108
86000US43571,43571,2704,172,157,81,2547,198
86000US43604,43604,4371,205,2488,203,1883,175
86000US43605,43605,10219,291,4394,333,5825,341
86000US43606,43606,10182,324,1796,236,8386,331
86000US43607,43607,9248,471,2868,259,6380,417
86000US43608,43608,4995,252,2291,209,2704,241
86000US43609,43609,8891,323,3384,377,5507,391
86000US43610,43610,1843,144,751,147,1092,123
86000US43611,43611,7942,351,1966,220,5976,335
86000US43612,43612,11743,356,2706,354,9037,375
86000US43613,43613,13790,327,2247,274,11543,406
86000US43614,43614,14268,382,1990,327,12278,489
86000US43615,43615,18040,526,3317,386,14723,575
86000US43616,43616,8549,259,942,168,7607,306
86000US43617,43617,2710,218,109,63,2601,219
86000US43619,43619,3050,176,320,147,2730,188
86000US43620,43620,2565,166,1095,146,1470,149
86000US43623,43623,9201,221,1012,181,8189,293
86000US43701,43701,23159,499,5493,461,17666,576
86000US43711,43711,26,34,0,11,26,34
86000US43713,43713,2734,195,384,143,2350,230
86000US43716,43716,794,118,115,82,679,98
86000US43717,43717,102,44,8,7,94,42
86000US43718,43718,1272,127,109,61,1163,144
86000US43719,43719,1065,140,169,83,896,133
86000US43720,43720,523,106,106,65,417,87
86000US43721,43721,0,11,0,11,0,11
86000US43722,43722,100,38,11,17,89,35
86000US43723,43723,2017,151,438,106,1579,172
86000US43724,43724,2865,211,354,120,2511,213
86000US43725,43725,8432,317,1990,241,6442,336
86000US43727,43727,388,84,60,44,328,79
86000US43728,43728,510,109,148,71,362,78
86000US43730,43730,869,114,160,69,709,96
86000US43731,43731,2095,157,517,117,1578,158
86000US43732,43732,666,106,81,63,585,102
86000US43733,43733,0,11,0,11,0,11
86000US43734,43734,678,98,77,61,601,105
86000US43735,43735,178,63,34,37,144,63
86000US43736,43736,31,12,14,9,17,12
86000US43738,43738,38,21,7,8,31,17
86000US43739,43739,835,147,10,11,825,146
86000US43740,43740,117,30,20,20,97,27
86000US43746,43746,504,116,48,49,456,123
86000US43747,43747,347,95,98,69,249,82
86000US43748,43748,931,137,204,98,727,181
86000US43749,43749,1016,155,164,96,852,152
86000US43750,43750,83,61,0,11,83,61
86000US43754,43754,617,100,99,55,518,99
86000US43755,43755,727,120,129,73,598,97
86000US43756,43756,2248,161,459,115,1789,147
86000US43758,43758,1204,138,247,77,957,135
86000US43759,43759,25,14,8,10,17,10
86000US43760,43760,801,146,95,60,706,153
86000US43761,43761,22,34,0,11,22,34
86000US43762,43762,1754,175,175,64,1579,169
86000US43764,43764,3204,239,880,187,2324,252
86000US43766,43766,602,105,207,80,395,86
86000US43767,43767,430,79,56,31,374,72
86000US43768,43768,131,32,17,17,114,26
86000US43771,43771,614,81,113,41,501,82
86000US43772,43772,652,107,39,22,613,106
86000US43773,43773,1350,180,139,79,1211,163
86000US43777,43777,1790,131,491,100,1299,132
